文件,中文字符串,替换值
Editor\Tools\ObjectDelete.cs,参数判断是否是资源路径,Determine if parameter is a resource path
Editor\Tools\ObjectDelete.cs,资源删除需要确认对话框,Resource delete requires confirmation dialog
Editor\Tools\ObjectDelete.cs,检查是否是资源文件删除,Check if resource file is being deleted
Editor\Tools\ObjectDelete.cs,处理未确认的删除操作,Handle unconfirmed delete actions
Editor\Tools\ObjectDelete.cs,如果是预制体资产本身,If it is the prefab asset itself
Editor\Tools\ObjectDelete.cs,检查预制体重定向逻辑,Check prefab redirection logic
Editor\Tools\ObjectDelete.cs,检查是否是预制体实例,Check if it is a prefab instance
Editor\Tools\ObjectDelete.cs,资源删除需要用户确认,Resource deletion requires user confirmation
Editor\Tools\ObjectDelete.cs,用户确认后执行删除,Perform deletion after user confirmation
Editor\Tools\ObjectDelete.cs,创建目标定位状态树,Create target location state tree
Editor\Tools\ObjectDelete.cs,检查是否是资源删除,Check if it is a resource deletion
Editor\Tools\ObjectDelete.cs,判断是否为资源文件,Determine if it is a resource file
Editor\Tools\ObjectDelete.cs,仅用于资源文件删除,For resource file deletions only
Editor\Tools\ObjectDelete.cs,创建操作执行状态树,Create operation execution state tree
Editor\Tools\ObjectDelete.cs,检查预制体重定向,Check prefab redirection
Editor\Tools\ObjectDelete.cs,默认为未确认删除,Default as unconfirmed deletion
Editor\Tools\ObjectDelete.cs,则认为是资源删除,Then regarded as resource deletion
Editor\Tools\ObjectDelete.cs,返回第一个找到的,Return the first found
Editor\Tools\ObjectDelete.cs,直接删除无需确认,Direct delete without confirmation
Editor\Tools\ObjectDelete.cs,这是预制体实例,This is a prefab instance
Editor\Tools\ObjectDelete.cs,避免序列化问题,Avoid serialization issues
Editor\Tools\ObjectDelete.cs,可以正常删除,Can delete normally
Editor\Tools\ObjectDelete.cs,目标查找参数,Target lookup parameter
Editor\Tools\ObjectDelete.cs,场景对象删除,Scene object deletion
Editor\Tools\ObjectDelete.cs,不是资源删除,Not a resource deletion
Editor\Tools\ObjectDelete.cs,继续正常处理,Continue normal processing
Editor\Tools\ObjectDelete.cs,资源文件删除,Resource file deletion
Editor\Tools\ObjectDelete.cs,只取第一个,Only take the first
Editor\Tools\ObjectDelete.cs,未确认删除,Unconfirmed deletion
Editor\Tools\ObjectDelete.cs,对应方法名,Corresponding method name
Editor\Tools\ObjectDelete.cs,如果路径以,If path starts with
Editor\Tools\ObjectDelete.cs,应该使用,Should use
Editor\Tools\ObjectDelete.cs,确认删除,Confirm deletion
Editor\Tools\ObjectDelete.cs,删除单个,Delete single
Editor\Tools\ObjectDelete.cs,先尝试从,First attempt from
Editor\Tools\ObjectDelete.cs,直接删除,Delete directly
Editor\Tools\ObjectDelete.cs,对象编辑,Object editing
Editor\Tools\ObjectDelete.cs,仅对,For only
Editor\Tools\ObjectDelete.cs,场景,Scene
Editor\Tools\ObjectDelete.cs,开头,Start
Editor\Tools\ObjectDelete.cs,通过,Through
Editor\Tools\ObjectDelete.cs,使用,Use
Editor\Tools\ObjectDelete.cs,命令,Command
Editor\Tools\ObjectDelete.cs,交给,Entrust to
Editor\Tools\ObjectDelete.cs,获取,Get
Editor\Tools\ObjectDelete.cs,适用,Applicable
Editor\Tools\ObjectDelete.cs,删除,Delete
Editor\Tools\ObjectDelete.cs,处理,Handle
Editor\Tools\RequestHttp.cs,如果数据不为空且没有明确的文本,If data is not empty and no explicit text
Editor\Tools\RequestHttp.cs,创建当前方法支持的参数键列表,Create parameter key list supported by current method
Editor\Tools\RequestHttp.cs,判断是否为文件数据或大型内容,Determine if data is file or large content
Editor\Tools\RequestHttp.cs,仅对非文件数据且非大型内容,Only for non-file and non-large content
Editor\Tools\RequestHttp.cs,立即输出日志并刷新控制台,Immediately output log and refresh console
Editor\Tools\RequestHttp.cs,检查响应对象是否表示成功,Check if response indicates success
Editor\Tools\RequestHttp.cs,文件数据或大型内容不返回,No return for file data or large content
Editor\Tools\RequestHttp.cs,使用反射检查匿名对象的,Check anonymous object with reflection
Editor\Tools\RequestHttp.cs,获得一致的文件路径返回,Obtain consistent file path return
Editor\Tools\RequestHttp.cs,复制认证和请求头参数,Copy authentication and request header parameters
Editor\Tools\RequestHttp.cs,协程版本的文件下载器,Coroutine-based file downloader
Editor\Tools\RequestHttp.cs,带重试机制的执行方法,Execution method with retry mechanism
Editor\Tools\RequestHttp.cs,调用单个文件下载方法,Invoke single file download
Editor\Tools\RequestHttp.cs,尝试从查询参数中获取,Try to get from query parameters
Editor\Tools\RequestHttp.cs,检查是否使用表单数据,Check if form data is used
Editor\Tools\RequestHttp.cs,启动单个文件下载协程,Start a single file download coroutine
Editor\Tools\RequestHttp.cs,根据方法类型创建请求,Create request according to method type
Editor\Tools\RequestHttp.cs,检查是否为二进制数据,Check if data is binary
Editor\Tools\RequestHttp.cs,接受所有证书的处理器,Handler that accepts all certificates
Editor\Tools\RequestHttp.cs,使用协程进行批量下载,Batch download via coroutine
Editor\Tools\RequestHttp.cs,每下载完成一个文件,After each file download
Editor\Tools\RequestHttp.cs,如果是最后一次尝试,If last attempt
Editor\Tools\RequestHttp.cs,判断是否为文件数据,Check if it is file data
Editor\Tools\RequestHttp.cs,有时间处理日志显示,Have time to handle log display
Editor\Tools\RequestHttp.cs,让用户实时看到进度,Allow users to see progress in real time
Editor\Tools\RequestHttp.cs,构建包含查询参数的,Construct with query parameters included
Editor\Tools\RequestHttp.cs,添加额外的表单字段,Add extra form fields
Editor\Tools\RequestHttp.cs,支持实时控制台刷新,Support real-time console refresh
Editor\Tools\RequestHttp.cs,使用协程下载文件,Download file with coroutine
Editor\Tools\RequestHttp.cs,如果是成功的响应,If response is successful
Editor\Tools\RequestHttp.cs,启动协程批量下载,Start batch download coroutine
Editor\Tools\RequestHttp.cs,使用它来配置请求,Use it to configure request
Editor\Tools\RequestHttp.cs,确保保存目录存在,Ensure save directory exists
Editor\Tools\RequestHttp.cs,添加自定义请求头,Add custom request header
Editor\Tools\RequestHttp.cs,等待所有下载完成,Wait for all downloads to complete
Editor\Tools\RequestHttp.cs,批量协程下载完成,Batch coroutine download completed
Editor\Tools\RequestHttp.cs,用于获取额外配置,For fetching extra config
Editor\Tools\RequestHttp.cs,创建单个下载参数,Create single download parameter
Editor\Tools\RequestHttp.cs,批量协程下载文件,Batch download files by coroutine
Editor\Tools\RequestHttp.cs,可能是二进制文件,Could be binary file
Editor\Tools\RequestHttp.cs,开始批量协程下载,Begin batch coroutine download
Editor\Tools\RequestHttp.cs,简单的连通性测试,Simple connectivity test
Editor\Tools\RequestHttp.cs,规范化保存目录,Normalize save directory
Editor\Tools\RequestHttp.cs,尝试按逗号分割,Try splitting by comma
Editor\Tools\RequestHttp.cs,确保文件名合法,Ensure filename is valid
Editor\Tools\RequestHttp.cs,如果没有扩展名,If no extension
Editor\Tools\RequestHttp.cs,如果是文件数据,If it is file data
Editor\Tools\RequestHttp.cs,但不阻塞主线程,But do not block main thread
Editor\Tools\RequestHttp.cs,规范化保存路径,Normalize save path
Editor\Tools\RequestHttp.cs,请求的通用方法,General request method
Editor\Tools\RequestHttp.cs,并发下载计数器,Concurrent download counter
Editor\Tools\RequestHttp.cs,中推断文件类型,Infer file type in
Editor\Tools\RequestHttp.cs,仅用于开发测试,For development test only
Editor\Tools\RequestHttp.cs,获取请求体数据,Get request body data
Editor\Tools\RequestHttp.cs,最大并发下载数,Max concurrent downloads
Editor\Tools\RequestHttp.cs,默认二进制文件,Default binary file
Editor\Tools\RequestHttp.cs,是否为文件类型,Is file type
Editor\Tools\RequestHttp.cs,处理其他事件,Handle other events
Editor\Tools\RequestHttp.cs,默认图片格式,Default image format
Editor\Tools\RequestHttp.cs,请求执行失败,Request execution failed
Editor\Tools\RequestHttp.cs,不阻塞主线程,Do not block main thread
Editor\Tools\RequestHttp.cs,处理批量下载,Handle batch download
Editor\Tools\RequestHttp.cs,等待请求完成,Wait for request to complete
Editor\Tools\RequestHttp.cs,文件上传失败,File upload failed
Editor\Tools\RequestHttp.cs,检查下载结果,Check download result
Editor\Tools\RequestHttp.cs,批量下载进度,Batch download progress
Editor\Tools\RequestHttp.cs,获取内容类型,Get content type
Editor\Tools\RequestHttp.cs,确保目录存在,Ensure directory exists
Editor\Tools\RequestHttp.cs,包含查询参数,Include query parameters
Editor\Tools\RequestHttp.cs,开始协程下载,Start coroutine download
Editor\Tools\RequestHttp.cs,请求执行错误,Request execution error
Editor\Tools\RequestHttp.cs,请求处理方法,Request processing method
Editor\Tools\RequestHttp.cs,等待上传完成,Wait for upload completion
Editor\Tools\RequestHttp.cs,同步执行请求,Synchronously execute request
Editor\Tools\RequestHttp.cs,处理文件上传,Handle file upload
Editor\Tools\RequestHttp.cs,批量下载失败,Batch download failed
Editor\Tools\RequestHttp.cs,表示异步执行,Indicates asynchronous execution
Editor\Tools\RequestHttp.cs,同时报告进度,Report progress simultaneously
Editor\Tools\RequestHttp.cs,使用项目路径,Use project path
Editor\Tools\RequestHttp.cs,配置请求参数,Configure request parameters
Editor\Tools\RequestHttp.cs,如果有上下文,If has context
Editor\Tools\RequestHttp.cs,文件下载失败,File download failed
Editor\Tools\RequestHttp.cs,文件下载成功,File download succeeded
Editor\Tools\RequestHttp.cs,逐个下载文件,Download files one by one
Editor\Tools\RequestHttp.cs,批量下载文件,Batch download files
Editor\Tools\RequestHttp.cs,核心实现方法,Core implementation method
Editor\Tools\RequestHttp.cs,设置认证信息,Set authentication info
Editor\Tools\RequestHttp.cs,获取完整路径,Get full path
Editor\Tools\RequestHttp.cs,如果是字符串,If it is a string
Editor\Tools\RequestHttp.cs,创建下载请求,Create download request
Editor\Tools\RequestHttp.cs,默认使用协程,Default use coroutine
Editor\Tools\RequestHttp.cs,生成最终结果,Produce final result
Editor\Tools\RequestHttp.cs,处理文件下载,Handle file download
Editor\Tools\RequestHttp.cs,协程下载成功,Coroutine download succeeded
Editor\Tools\RequestHttp.cs,返回文件路径,Return file path
Editor\Tools\RequestHttp.cs,批量下载完成,Batch download completed
Editor\Tools\RequestHttp.cs,等待空闲槽位,Wait for idle slot
Editor\Tools\RequestHttp.cs,启动协程下载,Start coroutine download
Editor\Tools\RequestHttp.cs,报告下载进度,Report download progress
Editor\Tools\RequestHttp.cs,开始批量下载,Start batch download
Editor\Tools\RequestHttp.cs,协程下载文件,Download file with coroutine
Editor\Tools\RequestHttp.cs,等待下载完成,Wait for download completion
Editor\Tools\RequestHttp.cs,否则相对于,Otherwise relative to
Editor\Tools\RequestHttp.cs,个文件成功,Files succeeded
Editor\Tools\RequestHttp.cs,获取响应头,Get response header
Editor\Tools\RequestHttp.cs,生成文件名,Generate filename
Editor\Tools\RequestHttp.cs,对应方法名,Corresponding method name
Editor\Tools\RequestHttp.cs,提取文件名,Extract filename
Editor\Tools\RequestHttp.cs,转换为毫秒,Convert to milliseconds
Editor\Tools\RequestHttp.cs,带重试机制,With retry mechanism
Editor\Tools\RequestHttp.cs,协程枚举器,Coroutine enumerator
Editor\Tools\RequestHttp.cs,创建状态树,Create state tree
Editor\Tools\RequestHttp.cs,执行具体的,Execute specific
Editor\Tools\RequestHttp.cs,如果路径以,If path starts with
Editor\Tools\RequestHttp.cs,返回结果,Return result
Editor\Tools\RequestHttp.cs,参数验证,Parameter validation
Editor\Tools\RequestHttp.cs,同步等待,Sync wait
Editor\Tools\RequestHttp.cs,个文件到,Files to
Editor\Tools\RequestHttp.cs,等待一帧,Wait one frame
Editor\Tools\RequestHttp.cs,完成回调,Completion callback
Editor\Tools\RequestHttp.cs,网络功能,Network function
Editor\Tools\RequestHttp.cs,视频文件,Video file
Editor\Tools\RequestHttp.cs,构建完整,Build complete
Editor\Tools\RequestHttp.cs,基本配置,Basic config
Editor\Tools\RequestHttp.cs,图片文件,Image file
Editor\Tools\RequestHttp.cs,保存文件,Save file
Editor\Tools\RequestHttp.cs,直接返回,Directly return
Editor\Tools\RequestHttp.cs,下载文件,Download file
Editor\Tools\RequestHttp.cs,下载失败,Download failed
Editor\Tools\RequestHttp.cs,进度回调,Progress callback
Editor\Tools\RequestHttp.cs,辅助方法,Auxiliary method
Editor\Tools\RequestHttp.cs,处理响应,Handle response
Editor\Tools\RequestHttp.cs,文档文件,Document file
Editor\Tools\RequestHttp.cs,发送请求,Send request
Editor\Tools\RequestHttp.cs,成功回调,Success callback
Editor\Tools\RequestHttp.cs,检查超时,Check timeout
Editor\Tools\RequestHttp.cs,解析参数,Parse parameters
Editor\Tools\RequestHttp.cs,强制刷新,Force refresh
Editor\Tools\RequestHttp.cs,配置请求,Configure request
Editor\Tools\RequestHttp.cs,上传文件,Upload file
Editor\Tools\RequestHttp.cs,字体文件,Font file
Editor\Tools\RequestHttp.cs,尝试解析,Try parsing
Editor\Tools\RequestHttp.cs,执行请求,Execute request
Editor\Tools\RequestHttp.cs,等待重试,Wait and retry
Editor\Tools\RequestHttp.cs,保存路径,Save path
Editor\Tools\RequestHttp.cs,超时时间,Timeout
Editor\Tools\RequestHttp.cs,音频文件,Audio file
Editor\Tools\RequestHttp.cs,证书验证,Certificate validation
Editor\Tools\RequestHttp.cs,个文件,Files
Editor\Tools\RequestHttp.cs,如果是,If is
Editor\Tools\RequestHttp.cs,上下文,Context
Editor\Tools\RequestHttp.cs,控制台,Console
Editor\Tools\RequestHttp.cs,文件夹,Folder
Editor\Tools\RequestHttp.cs,重定向,Redirect
Editor\Tools\RequestHttp.cs,尝试从,Attempt from
Editor\Tools\RequestHttp.cs,请求,Request
Editor\Tools\RequestHttp.cs,主机,Host
Editor\Tools\RequestHttp.cs,使用,Use
Editor\Tools\RequestHttp.cs,阈值,Threshold
Editor\Tools\RequestHttp.cs,刷新,Refresh
Editor\Tools\RequestHttp.cs,下载,Download
Editor\Tools\RequestHttp.cs,响应,Response
Editor\Tools\RequestHttp.cs,失败,Failed
Editor\Tools\RequestHttp.cs,认证,Authentication
Editor\Tools\RequestHttp.cs,数据,Data
Editor\Tools\RequestHttp.cs,创建,Create
Editor\Tools\RequestHttp.cs,可选,Optional
Editor\Tools\RequestHttp.cs,文件,File
Editor\Tools\RequestHttp.cs,成功,Success
Editor\Tools\RequestHttp.cs,检查,Check
Editor\Tools\RequestHttp.cs,字节,Byte
Editor\Tools\RequestHttp.cs,资源,Resource
Editor\Tools\RequestHttp.cs,返回,Return
Editor\Tools\RequestHttp.cs,属性,Property
Editor\Tools\RequestHttp.cs,执行,Execute
Editor\Tools\RequestHttp.cs,异步,Async
Editor\Tools\RequestHttp.cs,数组,Array
Editor\Tools\RequestHttp.cs,解析,Parse
Editor\Tools\RequestHttp.cs,处理,Handle
Editor\Tools\RequestHttp.cs,开头,Prefix
Editor\Tools\RequestHttp.cs,包含,Contain
Editor\Tools\RequestHttp.cs,同步,Synchronous
Editor\Tools\RequestHttp.cs,秒,Second
Editor\Tools\RequestHttp.cs,头,Header
Editor\Tools\RequestHttp.cs,让,Let
Editor\Tools\RequestHttp.cs,从,From
Editor\Tools\Console\ConsoleRead.cs,原来的控制台操作实现已移动到,Original console operations have been relocated to
Editor\Tools\Console\ConsoleRead.cs,创建当前方法支持的参数键列表,Create parameter key list supported by current method
Editor\Tools\Console\ConsoleRead.cs,实际的控制台操作功能已移至,Actual console operation features have been moved to
Editor\Tools\Console\ConsoleRead.cs,统一的控制台日志获取逻辑,Unified console log fetching logic
Editor\Tools\Console\ConsoleRead.cs,处理获取全部控制台日志,Handle retrieving all console logs
Editor\Tools\Console\ConsoleRead.cs,过滤包含指定文本的日志,Filter logs containing specified text
Editor\Tools\Console\ConsoleRead.cs,处理获取部分控制台日志,Handle retrieving partial console logs
Editor\Tools\Console\ConsoleRead.cs,处理未知操作的回调方法,Callback for handling unknown operations
Editor\Tools\Console\ConsoleRead.cs,处理清空控制台的操作,Handle clearing of console
Editor\Tools\Console\ConsoleRead.cs,提取消息类型参数,Extract message type parameter
Editor\Tools\Console\ConsoleRead.cs,是否已正确初始化,Whether correctly initialized
Editor\Tools\Console\ConsoleRead.cs,不设置则获取全部,Fetch all if not set
Editor\Tools\Console\ConsoleRead.cs,最大返回消息数,Maximum number of messages returned
Editor\Tools\Console\ConsoleRead.cs,获取控制台条目,Get console entries
Editor\Tools\Console\ConsoleRead.cs,不包含堆栈跟踪,Stack trace not included
Editor\Tools\Console\ConsoleRead.cs,消息类型列表,Message type list
Editor\Tools\Console\ConsoleRead.cs,默认全部类型,Default to all types
Editor\Tools\Console\ConsoleRead.cs,包含堆栈跟踪,Include stack trace
Editor\Tools\Console\ConsoleRead.cs,提取格式参数,Extract format parameter
Editor\Tools\Console\ConsoleRead.cs,文本过滤器,Text filter
Editor\Tools\Console\ConsoleRead.cs,无堆栈跟踪,No stack trace
Editor\Tools\Console\ConsoleRead.cs,清空控制台,Clear console
Editor\Tools\Console\ConsoleRead.cs,对应方法名,Corresponding method name
Editor\Tools\Console\ConsoleRead.cs,提取参数,Extract parameter
Editor\Tools\Console\ConsoleRead.cs,操作类型,Operation type
Editor\Tools\Console\ConsoleRead.cs,输出格式,Output format
Editor\Tools\Console\ConsoleRead.cs,开发工具,Development tool
Editor\Tools\Console\ConsoleRead.cs,的操作,Operation of
Editor\Tools\Console\ConsoleRead.cs,无过滤,No filter
Editor\Tools\Console\ConsoleRead.cs,有过滤,With filter
Editor\Tools\Console\ConsoleRead.cs,默认,Default
Editor\Tools\Console\ConsoleRead.cs,使用,Use
Editor\Tools\Console\ConsoleRead.cs,注意,Note
Editor\Tools\Console\ConsoleRead.cs,检查,Check
Editor\Tools\Console\ConsoleRead.cs,中,In
Editor\Tools\Console\ConsoleWrite.cs,创建一个简单的异常对象用于日志,Create a simple exception object for logging
Editor\Tools\Console\ConsoleWrite.cs,创建当前方法支持的参数键列表,Create parameter key list supported by current method
Editor\Tools\Console\ConsoleWrite.cs,处理写入异常日志的操作,Handle writing exception logs
Editor\Tools\Console\ConsoleWrite.cs,处理写入警告日志的操作,Handle writing warning logs
Editor\Tools\Console\ConsoleWrite.cs,处理写入断言日志的操作,Handle writing assert logs
Editor\Tools\Console\ConsoleWrite.cs,用于在控制台中定位相关,Used to locate related in console
Editor\Tools\Console\ConsoleWrite.cs,处理未知操作的回调方法,Callback for learning unknown operations
Editor\Tools\Console\ConsoleWrite.cs,处理写入错误日志的操作,Handle writing error logs
Editor\Tools\Console\ConsoleWrite.cs,处理写入普通日志的操作,Handle writing normal logs
Editor\Tools\Console\ConsoleWrite.cs,要写入的日志消息内容,Content of log message to write
Editor\Tools\Console\ConsoleWrite.cs,格式化断言日志消息,Format assert log message
Editor\Tools\Console\ConsoleWrite.cs,提取上下文对象,Extract context object
Editor\Tools\Console\ConsoleWrite.cs,断言条件表达式,Assert condition expression
Editor\Tools\Console\ConsoleWrite.cs,上下文对象名称,Context object name
Editor\Tools\Console\ConsoleWrite.cs,格式化日志消息,Format log message
Editor\Tools\Console\ConsoleWrite.cs,用于分类和过滤,Used for categorization and filtering
Editor\Tools\Console\ConsoleWrite.cs,提取消息参数,Extract message parameter
Editor\Tools\Console\ConsoleWrite.cs,提取条件参数,Extract condition parameter
Editor\Tools\Console\ConsoleWrite.cs,提取标签参数,Extract tag parameter
Editor\Tools\Console\ConsoleWrite.cs,对应方法名,Corresponding method name
Editor\Tools\Console\ConsoleWrite.cs,日志标签,Log tag
Editor\Tools\Console\ConsoleWrite.cs,操作类型,Operation type
Editor\Tools\Console\ConsoleWrite.cs,用于断言,For assertion
Editor\Tools\Console\ConsoleWrite.cs,尝试通过,Attempt via
Editor\Tools\Console\ConsoleWrite.cs,加载资源,Load resource
Editor\Tools\Console\ConsoleWrite.cs,开发工具,Development tool
Editor\Tools\Console\ConsoleWrite.cs,尝试找到,Attempt to find
Editor\Tools\Console\ConsoleWrite.cs,仅用于,Used only for
Editor\Tools\Console\ConsoleWrite.cs,类型,Type
Editor\Tools\Console\ConsoleWrite.cs,可选,Optional
Editor\Tools\Hierarchy\HierarchyApply.cs,应用预制体实例的更改到预制体资源,Apply prefab instance changes to prefab asset
Editor\Tools\Hierarchy\HierarchyApply.cs,创建当前方法支持的参数键列表,Create parameter key list supported by current method
Editor\Tools\Hierarchy\HierarchyApply.cs,是否可以连接到指定的预制体,Whether can connect to specified prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,如果没有路径分隔符且没有,If no path separator and no
Editor\Tools\Hierarchy\HierarchyApply.cs,先创建一个新的预制体实例,Create a new prefab instance first
Editor\Tools\Hierarchy\HierarchyApply.cs,尝试复制兼容的组件属性,Try copying compatible component properties
Editor\Tools\Hierarchy\HierarchyApply.cs,尝试使用替换组件的方式,Attempt replacement of component method
Editor\Tools\Hierarchy\HierarchyApply.cs,处理链接预制体的操作,Handle connecting prefab operation
Editor\Tools\Hierarchy\HierarchyApply.cs,记录原对象的变换信息,Record transforms of original object
Editor\Tools\Hierarchy\HierarchyApply.cs,选择断开连接后的对象,Select objects after disconnecting
Editor\Tools\Hierarchy\HierarchyApply.cs,检查是否为预制体实例,Check if it is a prefab instance
Editor\Tools\Hierarchy\HierarchyApply.cs,复制兼容的组件属性,Copy compatible component properties
Editor\Tools\Hierarchy\HierarchyApply.cs,预制体的所有组件在,All components of prefab in
Editor\Tools\Hierarchy\HierarchyApply.cs,用预制体实例替换,Replace with prefab instance
Editor\Tools\Hierarchy\HierarchyApply.cs,选择连接后的对象,Select object after connect
Editor\Tools\Hierarchy\HierarchyApply.cs,默认连接到预制体,Default connect to prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,是否与预制体兼容,Whether compatible with prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,版本中可能不可用,May be unavailable in version
Editor\Tools\Hierarchy\HierarchyApply.cs,检查是否强制链接,Check if force-link
Editor\Tools\Hierarchy\HierarchyApply.cs,尝试按路径查找,Try searching by path
Editor\Tools\Hierarchy\HierarchyApply.cs,与预制体的连接,Connection with prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,获取预制体资源,Get prefab asset
Editor\Tools\Hierarchy\HierarchyApply.cs,解析预制体路径,Parse prefab path
Editor\Tools\Hierarchy\HierarchyApply.cs,应用预制体更改,Apply prefab changes
Editor\Tools\Hierarchy\HierarchyApply.cs,复制序列化字段,Copy serialized fields
Editor\Tools\Hierarchy\HierarchyApply.cs,尝试按名称查找,Try to search by name
Editor\Tools\Hierarchy\HierarchyApply.cs,获取预制体信息,Get prefab info
Editor\Tools\Hierarchy\HierarchyApply.cs,然后替换原对象,Then replace original object
Editor\Tools\Hierarchy\HierarchyApply.cs,到指定的预制体,To specified prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,加载预制体资源,Load prefab asset
Editor\Tools\Hierarchy\HierarchyApply.cs,断开预制体连接,Disconnect prefab connection
Editor\Tools\Hierarchy\HierarchyApply.cs,获取预制体路径,Get prefab path
Editor\Tools\Hierarchy\HierarchyApply.cs,创建预制体实例,Create prefab instance
Editor\Tools\Hierarchy\HierarchyApply.cs,比较组件类型,Compare component types
Editor\Tools\Hierarchy\HierarchyApply.cs,用于链接操作,For linking operation
Editor\Tools\Hierarchy\HierarchyApply.cs,复制变换信息,Copy transform info
Editor\Tools\Hierarchy\HierarchyApply.cs,记录撤销操作,Record undo operation
Editor\Tools\Hierarchy\HierarchyApply.cs,连接到预制体,Connect to prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,设置变换信息,Set transform info
Editor\Tools\Hierarchy\HierarchyApply.cs,检查现有连接,Check existing connection
Editor\Tools\Hierarchy\HierarchyApply.cs,中都应该存在,Should all exist in
Editor\Tools\Hierarchy\HierarchyApply.cs,跳过脚本引用,Skip script references
Editor\Tools\Hierarchy\HierarchyApply.cs,搜索预制体,Search prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,方法在某些,Method in some
Editor\Tools\Hierarchy\HierarchyApply.cs,删除原对象,Delete original object
Editor\Tools\Hierarchy\HierarchyApply.cs,对应方法名,Corresponding method name
Editor\Tools\Hierarchy\HierarchyApply.cs,基本检查,Basic check
Editor\Tools\Hierarchy\HierarchyApply.cs,自动添加,Auto add
Editor\Tools\Hierarchy\HierarchyApply.cs,层级管理,Hierarchy management
Editor\Tools\Hierarchy\HierarchyApply.cs,使用现代,Use modern
Editor\Tools\Hierarchy\HierarchyApply.cs,到预制体,To prefab
Editor\Tools\Hierarchy\HierarchyApply.cs,强制连接,Force connect
Editor\Tools\Hierarchy\HierarchyApply.cs,在断开前,Before disconnecting
Editor\Tools\Hierarchy\HierarchyApply.cs,获取目标,Get target
Editor\Tools\Hierarchy\HierarchyApply.cs,尝试按,Try by
Editor\Tools\Hierarchy\HierarchyApply.cs,未找到,Not found
Editor\Tools\Hierarchy\HierarchyApply.cs,扩展名,Extension
Editor\Tools\Hierarchy\HierarchyApply.cs,先检查,Check first
Editor\Tools\Hierarchy\HierarchyApply.cs,断开,Disconnect
Editor\Tools\Hierarchy\HierarchyApply.cs,连接,Connect
Editor\Tools\Hierarchy\HierarchyApply.cs,注意,Note
Editor\Tools\Hierarchy\HierarchyApply.cs,检查,Check
Editor\Tools\Hierarchy\HierarchyApply.cs,查找,Lookup
Editor\Tools\Hierarchy\HierarchyCreate.cs,创建当前方法支持的参数键列表,Create parameter key list supported by current method
Editor\Tools\Hierarchy\HierarchyCreate.cs,延迟调用确保退出重命名状态,Delay call to ensure exit rename mode
Editor\Tools\Hierarchy\HierarchyCreate.cs,先取消选中以退出重命名模式,Deselect first to exit rename mode
Editor\Tools\Hierarchy\HierarchyCreate.cs,如果没有路径分隔符且没有,If no path separator and no
Editor\Tools\Hierarchy\HierarchyCreate.cs,多次尝试检测新创建的对象,Try detecting newly created object multiple times
Editor\Tools\Hierarchy\HierarchyCreate.cs,因为菜单创建可能需要时间,Menu creation may take time
Editor\Tools\Hierarchy\HierarchyCreate.cs,取消选中并退出重命名模式,Deselect and exit rename mode
Editor\Tools\Hierarchy\HierarchyCreate.cs,处理从现有对象复制的操作,Handle operations copied from existing objects
Editor\Tools\Hierarchy\HierarchyCreate.cs,多种方法尝试退出编辑状态,Attempt to exit edit status by multiple methods
Editor\Tools\Hierarchy\HierarchyCreate.cs,处理预制体路径查找逻辑,Handle prefab path lookup logic
Editor\Tools\Hierarchy\HierarchyCreate.cs,检查是否找到了新对象,Check if a new object was found
Editor\Tools\Hierarchy\HierarchyCreate.cs,记录变换和属性的变更,Record changes of transform and property
Editor\Tools\Hierarchy\HierarchyCreate.cs,记录创建前的选中对象,Record selected object before creating
Editor\Tools\Hierarchy\HierarchyCreate.cs,确保对象完全初始化,Ensure object is fully initialized
Editor\Tools\Hierarchy\HierarchyCreate.cs,默认使用源对象名称,Default to use source object's name
Editor\Tools\Hierarchy\HierarchyCreate.cs,处理从基元类型创建,Handle creation from primitive type
Editor\Tools\Hierarchy\HierarchyCreate.cs,等待预制体保存完成,Wait until prefab save completed
Editor\Tools\Hierarchy\HierarchyCreate.cs,如果没有找到新对象,If no new object found
Editor\Tools\Hierarchy\HierarchyCreate.cs,如果直接查找失败,If direct search failed
Editor\Tools\Hierarchy\HierarchyCreate.cs,如果找到了新对象,If found a new object
Editor\Tools\Hierarchy\HierarchyCreate.cs,表示保持本地坐标,Indicate to keep local coordinates
Editor\Tools\Hierarchy\HierarchyCreate.cs,检查父对象是否有,Check if parent object has
Editor\Tools\Hierarchy\HierarchyCreate.cs,尝试在场景中搜索,Try searching in scene
Editor\Tools\Hierarchy\HierarchyCreate.cs,强制退出编辑状态,Force quit edit mode
Editor\Tools\Hierarchy\HierarchyCreate.cs,是否保存为预制体,Whether to save as prefab
Editor\Tools\Hierarchy\HierarchyCreate.cs,强制结束编辑状态,Force end editing status
Editor\Tools\Hierarchy\HierarchyCreate.cs,检查菜单执行结果,Check menu execution result
Editor\Tools\Hierarchy\HierarchyCreate.cs,父对象名称或路径,Parent object name or path
